m/z,with sulfur,without sulfur
51.8,3.14E-12,3.89E-12
51.9,4.65E-12,4.43E-12
52,5.72E-12,5.00E-12
52.1,5.43E-12,4.90E-12
52.2,5.21E-12,5.89E-12
52.3,4.30E-12,3.96E-12
52.4,2.61E-12,1.98E-12
52.5,1.85E-12,2.61E-12
52.6,1.79E-12,3.35E-12
52.7,3.11E-12,4.20E-12
52.8,4.98E-12,6.94E-12
52.9,7.29E-12,6.83E-12
53,8.49E-12,7.29E-12
53.1,7.82E-12,7.92E-12
53.2,7.89E-12,8.67E-12
53.3,6.04E-12,6.82E-12
53.4,3.73E-12,3.39E-12
53.5,2.05E-12,3.46E-12
53.6,3.28E-12,3.60E-12
53.7,6.40E-12,4.13E-12
53.8,7.26E-12,5.96E-12
53.9,9.11E-12,6.59E-12
54,1.08E-11,8.57E-12
54.1,1.09E-11,7.99E-12
54.2,1.07E-11,8.59E-12
54.3,7.39E-12,9.12E-12
54.4,3.58E-12,5.46E-12
54.5,3.15E-12,3.81E-12
54.6,5.76E-12,5.67E-12
54.7,1.10E-11,9.65E-12
54.8,1.61E-11,1.56E-11
54.9,2.27E-11,1.75E-11
55,2.68E-11,1.92E-11
55.1,2.55E-11,2.20E-11
55.2,2.26E-11,2.07E-11
55.3,1.77E-11,1.75E-11
55.4,6.63E-12,7.62E-12
55.5,4.76E-12,3.38E-12
55.6,7.03E-12,5.49E-12
55.7,1.12E-11,9.59E-12
55.8,1.68E-11,1.21E-11
55.9,2.27E-11,1.56E-11
56,2.67E-11,1.87E-11
56.1,2.79E-11,1.97E-11
56.2,2.63E-11,1.94E-11
56.3,1.87E-11,1.57E-11
56.4,7.86E-12,6.95E-12
56.5,5.84E-12,3.24E-12
56.6,8.53E-12,5.11E-12
56.7,1.51E-11,9.31E-12
56.8,2.62E-11,1.56E-11
56.9,3.38E-11,1.95E-11
57,3.54E-11,2.23E-11
57.1,3.83E-11,2.36E-11
57.2,3.52E-11,2.31E-11
57.3,2.53E-11,1.94E-11
57.4,1.03E-11,8.89E-12
57.5,5.62E-12,5.43E-12
57.6,9.82E-12,7.63E-12
57.7,1.98E-11,1.15E-11
57.8,2.75E-11,1.70E-11
57.9,3.77E-11,2.25E-11
58,4.16E-11,2.78E-11
58.1,4.09E-11,2.74E-11
58.2,3.78E-11,2.65E-11
58.3,2.79E-11,2.26E-11
58.4,1.14E-11,1.13E-11
58.5,1.27E-11,8.57E-12
58.6,2.90E-11,1.08E-11
58.7,5.91E-11,2.25E-11
58.8,8.67E-11,3.58E-11
58.9,1.07E-10,4.83E-11
59,1.30E-10,5.52E-11
59.1,1.38E-10,5.60E-11
59.2,1.30E-10,5.06E-11
59.3,1.25E-10,3.89E-11
59.4,1.49E-10,1.64E-11
59.5,3.41E-10,6.52E-12
59.6,9.13E-10,7.97E-12
59.7,1.41E-09,1.47E-11
59.8,1.80E-09,2.16E-11
59.9,2.02E-09,2.56E-11
