Wavenumber (1/cm),With sulfur,without sulfur
741.99,95.521,95.9762
742.472,95.5582,95.9508
742.954,95.595,95.9238
743.436,95.6317,95.8954
743.918,95.6685,95.8656
744.4,95.7052,95.8345
744.883,95.7414,95.8015
745.365,95.7766,95.7661
745.847,95.8102,95.7278
746.329,95.8419,95.6867
746.811,95.8719,95.643
747.293,95.9004,95.5971
747.775,95.9283,95.5498
748.257,95.9559,95.5012
748.74,95.9836,95.4516
749.222,96.0114,95.4009
749.704,96.0388,95.3493
750.186,96.0654,95.2971
750.668,96.0907,95.2448
751.15,96.1146,95.1929
751.632,96.1372,95.1422
752.114,96.1592,95.0927
752.596,96.1814,95.0447
753.079,96.2051,94.9982
753.561,96.2314,94.9532
754.043,96.2611,94.9101
754.525,96.2949,94.8696
755.007,96.3328,94.8323
755.489,96.3742,94.7989
755.971,96.4183,94.7695
756.453,96.464,94.7442
756.936,96.5102,94.7224
757.418,96.5564,94.7039
757.9,96.6022,94.6882
758.382,96.6478,94.6754
758.864,96.6934,94.6654
759.346,96.7393,94.6583
759.828,96.7856,94.6539
760.31,96.8323,94.652
760.793,96.8792,94.652
761.275,96.9265,94.654
761.757,96.9744,94.6575
762.239,97.0232,94.6631
762.721,97.0735,94.6706
763.203,97.1258,94.6802
763.685,97.1798,94.6916
764.167,97.2352,94.7043
764.65,97.2912,94.7177
765.132,97.347,94.7313
765.614,97.4021,94.745
766.096,97.4563,94.759
766.578,97.5101,94.7736
767.06,97.5643,94.7894
767.542,97.6196,94.8064
768.024,97.6765,94.8248
768.507,97.7354,94.8444
768.989,97.796,94.8649
769.471,97.8578,94.8867
769.953,97.9202,94.9097
770.435,97.9823,94.9343
770.917,98.0436,94.9609
771.399,98.1032,94.9894
771.881,98.161,95.0197
772.364,98.2166,95.0514
772.846,98.27,95.0842
773.328,98.3212,95.118
773.81,98.3706,95.1527
774.292,98.4186,95.1885
774.774,98.4655,95.2251
775.256,98.5115,95.2625
775.739,98.5567,95.2999
776.221,98.601,95.337
776.703,98.6443,95.3731
777.185,98.6868,95.4082
777.667,98.7284,95.4426
778.149,98.7696,95.4766
778.631,98.8103,95.5107
779.113,98.8507,95.545
779.596,98.8907,95.5795
780.078,98.9302,95.6138
780.56,98.969,95.6475
781.042,99.007,95.6803
781.524,99.0446,95.7123
782.006,99.0819,95.7434
782.488,99.119,95.7739
782.97,99.1561,95.8037
783.453,99.193,95.8326
783.935,99.2292,95.8606
784.417,99.2644,95.8877
784.899,99.2982,95.9141
785.381,99.3307,95.9403
785.863,99.3618,95.9668
786.345,99.3919,95.9939
786.827,99.4212,96.0216
787.31,99.4498,96.0496
787.792,99.4777,96.0773
788.274,99.5047,96.1044
788.756,99.5305,96.1307
789.238,99.5551,96.1565
789.72,99.5782,96.182
790.202,99.5998,96.2076
790.684,99.6201,96.2333
791.167,99.6391,96.2588
791.649,99.6566,96.2837
792.131,99.6727,96.3072
792.613,99.6872,96.3291
793.095,99.7002,96.3493
793.577,99.7116,96.3681
794.059,99.7213,96.3859
794.541,99.7293,96.403
795.023,99.7356,96.4195
795.506,99.74,96.4355
795.988,99.7428,96.4508
796.47,99.7441,96.4655
796.952,99.7441,96.4795
797.434,99.7431,96.4929
797.916,99.7414,96.5057
798.398,99.7392,96.5179
798.88,99.7366,96.5292
799.363,99.7334,96.5395
799.845,99.7299,96.5489
800.327,99.726,96.5577
800.809,99.7217,96.5663
801.291,99.717,96.5749
801.773,99.7115,96.5839
802.255,99.705,96.5932
802.737,99.6968,96.6023
803.22,99.6867,96.6108
803.702,99.6744,96.6183
804.184,99.6601,96.6248
804.666,99.6441,96.6307
805.148,99.6271,96.6362
805.63,99.6095,96.642
806.112,99.5913,96.6481
806.594,99.5723,96.6548
807.077,99.552,96.662
807.559,99.5295,96.6696
808.041,99.5043,96.678
808.523,99.476,96.6874
809.005,99.4444,96.6985
809.487,99.4097,96.7114
809.969,99.3724,96.7264
810.451,99.3329,96.7433
810.934,99.2919,96.7617
811.416,99.2499,96.7816
811.898,99.2075,96.8027
812.38,99.165,96.8251
812.862,99.123,96.849
813.344,99.0815,96.8742
813.826,99.0403,96.9004
814.308,98.9988,96.927
814.791,98.9564,96.9535
815.273,98.9125,96.9795
815.755,98.8665,97.005
816.237,98.8183,97.0302
816.719,98.7675,97.0556
817.201,98.7142,97.0816
817.683,98.6584,97.1082
818.166,98.5999,97.1352
818.648,98.5385,97.1623
819.13,98.474,97.1892
819.612,98.4066,97.2157
820.094,98.3364,97.242
820.576,98.264,97.2685
821.058,98.1902,97.2954
821.54,98.116,97.3229
822.023,98.0426,97.3507
822.505,97.9712,97.3785
822.987,97.9029,97.406
823.469,97.839,97.4332
823.951,97.7803,97.4602
824.433,97.7275,97.4871
824.915,97.6811,97.5143
825.397,97.6411,97.5418
825.88,97.6072,97.5695
826.362,97.5794,97.5969
826.844,97.5572,97.6242
827.326,97.5408,97.6513
827.808,97.5303,97.6787
828.29,97.5258,97.7065
828.772,97.5275,97.735
829.254,97.5349,97.7639
829.737,97.5475,97.7927
830.219,97.5642,97.8206
830.701,97.5835,97.8471
831.183,97.604,97.8718
831.665,97.6247,97.8948
832.147,97.6447,97.9164
832.629,97.6637,97.937
833.111,97.6821,97.9568
833.593,97.7005,97.9755
834.076,97.7197,97.9931
834.558,97.7405,98.0094
835.04,97.7635,98.0243
835.522,97.7891,98.0381
836.004,97.8173,98.0512
836.486,97.8481,98.064
836.968,97.8812,98.0764
837.45,97.9164,98.0885
837.933,97.9536,98.0998
838.415,97.9929,98.1103
838.897,98.0341,98.1198
839.379,98.0773,98.1288
839.861,98.1218,98.1373
840.343,98.167,98.1459
840.825,98.2119,98.1545
841.307,98.2558,98.1629
841.79,98.2981,98.1709
842.272,98.3391,98.1782
842.754,98.3792,98.1849
843.236,98.4195,98.1913
843.718,98.4604,98.1977
844.2,98.5023,98.2046
844.682,98.5442,98.2121
845.164,98.5848,98.2202
845.646,98.6221,98.2285
846.129,98.6548,98.2369
846.611,98.6821,98.2456
847.093,98.7041,98.2549
847.575,98.7223,98.2652
848.057,98.7385,98.2769
848.539,98.7548,98.2898
849.021,98.7723,98.3038
849.503,98.7914,98.3182
849.986,98.8116,98.3325
850.468,98.8318,98.3464
850.95,98.851,98.36
851.432,98.8685,98.3736
851.914,98.8842,98.3876
852.396,98.8984,98.402
852.878,98.9117,98.4168
853.36,98.9242,98.4318
853.843,98.9352,98.4466
854.325,98.9436,98.4612
854.807,98.9476,98.4757
855.289,98.9454,98.4903
855.771,98.9358,98.5055
856.253,98.9185,98.5211
856.735,98.8939,98.5368
857.218,98.8631,98.5524
857.7,98.8274,98.5675
858.182,98.7878,98.5819
858.664,98.7449,98.5959
859.146,98.6985,98.6099
859.628,98.6479,98.6242
860.11,98.5923,98.6391
860.592,98.5314,98.6546
861.075,98.4653,98.6703
861.557,98.3947,98.6859
862.039,98.3207,98.7012
862.521,98.2447,98.716
863.003,98.1677,98.7307
